name,year,selling_price, km_driven ,fuel,seller_type,transmission,owner,Year Grouping
Maruti 800 AC,2007,"?60,000","70,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Maruti Wagon R LXI Minor,2007,"?135,000","50,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Hyundai Verna 1.6 SX,2012,"?600,000","100,000",Diesel,Individual,Manual,First Owner,2011 -2015
Datsun RediGO T Option,2017,"?250,000","46,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Honda Amaze VX i-DTEC,2014,"?450,000","141,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Alto LX BSIII,2007,"?140,000","125,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Hyundai Xcent 1.2 Kappa S,2016,"?550,000","25,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Tata Indigo Grand Petrol,2014,"?240,000","60,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Hyundai Creta 1.6 VTVT S,2015,"?850,000","25,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Celerio Green VXI,2017,"?365,000","78,000",CNG,Individual,Manual,First Owner,2016 - 2020
Chevrolet Sail 1.2 Base,2015,"?260,000","35,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Tata Indigo Grand Petrol,2014,"?250,000","100,000",Petrol,Individual,Manual,First Owner,2011 -2015
Toyota Corolla Altis 1.8 VL CVT,2018,"?1,650,000","25,000",Petrol,Dealer,Automatic,First Owner,2016 - 2020
Maruti Ciaz VXi Plus,2015,"?585,000","24,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Hyundai Venue SX Opt Diesel,2019,"?1,195,000","5,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,"?390,000","33,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Jaguar XF 2.2 Litre Luxury,2014,"?1,964,999","28,000",Diesel,Dealer,Automatic,First Owner,2011 -2015
Mercedes-Benz New C-Class 220 CDI AT,2013,"?1,425,000","59,000",Diesel,Dealer,Automatic,First Owner,2011 -2015
Maruti Vitara Brezza ZDi Plus AMT,2018,"?975,000","4,500",Diesel,Dealer,Automatic,First Owner,2016 - 2020
Audi Q5 2.0 TDI,2011,"?1,190,000","175,900",Diesel,Dealer,Automatic,First Owner,2011 -2015
Honda City V MT,2018,"?930,000","14,500",Petrol,Dealer,Manual,First Owner,2016 - 2020
Tata Tigor 1.2 Revotron XT,2018,"?525,000","15,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Audi A6 2.0 TDI  Design Edition,2013,"?1,735,000","50,000",Diesel,Dealer,Automatic,First Owner,2011 -2015
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,"?1,375,000","33,800",Diesel,Dealer,Automatic,Second Owner,2011 -2015
Skoda Superb Ambition 2.0 TDI CR AT,2011,"?450,000","130,400",Diesel,Dealer,Automatic,Second Owner,2011 -2015
Toyota Corolla Altis G AT,2016,"?900,000","50,000",Petrol,Individual,Automatic,First Owner,2016 - 2020
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,"?1,300,000","80,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Jeep Compass 1.4 Sport Plus BSIV,2019,"?1,400,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Mercedes-Benz E-Class E 200 CGI Elegance,2010,"?850,000","119,000",Petrol,Dealer,Automatic,First Owner,2011 -2015
Hyundai i10 Magna 1.1L,2014,"?229,999","60,000",Petrol,Individual,Manual,Fourth & Above Owner,2011 -2015
BMW 3 Series 320d Sport Line,2013,"?1,550,000","75,800",Diesel,Dealer,Automatic,Second Owner,2011 -2015
Audi Q7 35 TDI Quattro Premium,2009,"?1,250,000","78,000",Diesel,Dealer,Automatic,Third Owner,2006 - 2010
Hyundai Elantra CRDi S,2012,"?625,000","40,000",Diesel,Individual,Manual,First Owner,2011 -2015
Mahindra Scorpio 1.99 S10,2014,"?1,050,000","50,000",Diesel,Individual,Manual,First Owner,2011 -2015
Honda City i DTEC V,2014,"?560,000","74,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Wagon R VXI BS IV with ABS,2014,"?290,000","64,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Maruti Wagon R VXI BS IV,2012,"?275,000","60,000",Petrol,Individual,Manual,Second Owner,2011 -2015
